OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,233816,297431,197187,163403,118680
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,226808,282511,190243,154412,99417
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,255743,368143,235483,189762,115818
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2023-11-01T00:00:00,2023-11-30T23:59:59,Month,2024-11,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,209906,289286,183810,144711,93965
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,220308,298680,199535,158901,104576
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,186748,255258,168200,129305,79260
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,219510,282947,191119,151166,100401
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,180561,299040,199240,154845,108246
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,239424,302880,203285,168811,120619
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,230649,285547,195614,157311,100202
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,253529,363381,234288,188961,114375
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-10-01T00:00:00,2024-10-31T23:59:59,Month,2024-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,215378,295972,189553,148586,95469
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,217973,295569,197294,157362,103287
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,187527,256233,168893,130044,79386
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,214465,276595,186634,147658,97808
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,178905,296156,197650,153535,106612
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,236509,299534,200626,166401,118971
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,228722,283549,193473,156097,99331
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,253451,363776,234062,188834,113850
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-09-01T00:00:00,2024-09-30T23:59:59,Month,2024-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,211270,290475,185664,145839,93809
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,214525,290867,193754,155075,102474
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,189938,259186,170886,132181,80947
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,211230,272218,183490,145911,97156
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,173575,286589,191604,149053,103983
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,230295,291601,195019,162286,117199
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,224534,278401,189262,153971,98744
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,251646,360739,232124,187713,113940
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-08-01T00:00:00,2024-08-30T23:59:59,Month,2024-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,206817,283908,181508,143252,93045
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,212201,287241,191669,153610,102275
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,187349,255852,168479,130058,80239
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,206796,266684,179575,142437,95444
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,176060,290770,194384,150978,105952
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,230721,292364,195256,162058,118004
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,217477,269942,182999,148843,96131
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,250384,359154,230983,186288,113871
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-07-01T00:00:00,2024-07-30T23:59:59,Month,2024-07,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,202773,278533,177980,140169,91840
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,210839,285650,190295,152258,102215
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,183627,250979,165002,127190,79072
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,210125,270983,182401,144575,97493
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,175082,289300,193149,149960,106057
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,230518,292166,194964,161773,118477
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,213522,265105,179620,145923,94704
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,247613,355337,228297,183942,113142
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-06-01T00:00:00,2024-06-30T23:59:59,Month,2024-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,199119,273711,174726,137440,90586
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,213941,290212,192911,154140,104082
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,185582,254294,166592,127904,79811
